realtime_start,value,date,realtime_end
2019-12-06,620,1992-01-01,2019-12-06
2019-12-06,585,1992-02-01,2019-12-06
2019-12-06,643,1992-03-01,2019-12-06
2019-12-06,706,1992-04-01,2019-12-06
2019-12-06,660,1992-05-01,2019-12-06
2019-12-06,721,1992-06-01,2019-12-06
2019-12-06,678,1992-07-01,2019-12-06
2019-12-06,653,1992-08-01,2019-12-06
2019-12-06,638,1992-09-01,2019-12-06
2019-12-06,789,1992-10-01,2019-12-06
2019-12-06,1332,1992-11-01,2019-12-06
2019-12-06,3226,1992-12-01,2019-12-06
2019-12-06,598,1993-01-01,2019-12-06
2019-12-06,576,1993-02-01,2019-12-06
2019-12-06,683,1993-03-01,2019-12-06
2019-12-06,735,1993-04-01,2019-12-06
2019-12-06,685,1993-05-01,2019-12-06
2019-12-06,722,1993-06-01,2019-12-06
2019-12-06,745,1993-07-01,2019-12-06
2019-12-06,682,1993-08-01,2019-12-06
2019-12-06,671,1993-09-01,2019-12-06
2019-12-06,799,1993-10-01,2019-12-06
2019-12-06,1480,1993-11-01,2019-12-06
2019-12-06,3275,1993-12-01,2019-12-06
2019-12-06,618,1994-01-01,2019-12-06
2019-12-06,637,1994-02-01,2019-12-06
2019-12-06,819,1994-03-01,2019-12-06
2019-12-06,782,1994-04-01,2019-12-06
2019-12-06,742,1994-05-01,2019-12-06
2019-12-06,758,1994-06-01,2019-12-06
2019-12-06,778,1994-07-01,2019-12-06
2019-12-06,801,1994-08-01,2019-12-06
2019-12-06,806,1994-09-01,2019-12-06
2019-12-06,987,1994-10-01,2019-12-06
2019-12-06,1677,1994-11-01,2019-12-06
2019-12-06,3445,1994-12-01,2019-12-06
2019-12-06,683,1995-01-01,2019-12-06
2019-12-06,665,1995-02-01,2019-12-06
2019-12-06,823,1995-03-01,2019-12-06
2019-12-06,867,1995-04-01,2019-12-06
2019-12-06,821,1995-05-01,2019-12-06
2019-12-06,873,1995-06-01,2019-12-06
2019-12-06,851,1995-07-01,2019-12-06
2019-12-06,846,1995-08-01,2019-12-06
2019-12-06,846,1995-09-01,2019-12-06
2019-12-06,993,1995-10-01,2019-12-06
2019-12-06,1830,1995-11-01,2019-12-06
2019-12-06,3616,1995-12-01,2019-12-06
2019-12-06,705,1996-01-01,2019-12-06
2019-12-06,737,1996-02-01,2019-12-06
2019-12-06,890,1996-03-01,2019-12-06
2019-12-06,862,1996-04-01,2019-12-06
2019-12-06,669,1996-05-01,2019-12-06
2019-12-06,849,1996-06-01,2019-12-06
2019-12-06,877,1996-07-01,2019-12-06
2019-12-06,874,1996-08-01,2019-12-06
2019-12-06,870,1996-09-01,2019-12-06
2019-12-06,1094,1996-10-01,2019-12-06
2019-12-06,2002,1996-11-01,2019-12-06
2019-12-06,4073,1996-12-01,2019-12-06
2019-12-06,730,1997-01-01,2019-12-06
2019-12-06,791,1997-02-01,2019-12-06
2019-12-06,1032,1997-03-01,2019-12-06
2019-12-06,896,1997-04-01,2019-12-06
2019-12-06,947,1997-05-01,2019-12-06
2019-12-06,940,1997-06-01,2019-12-06
2019-12-06,963,1997-07-01,2019-12-06
2019-12-06,958,1997-08-01,2019-12-06
2019-12-06,971,1997-09-01,2019-12-06
2019-12-06,1141,1997-10-01,2019-12-06
2019-12-06,2009,1997-11-01,2019-12-06
2019-12-06,3643,1997-12-01,2019-12-06
2019-12-06,858,1998-01-01,2019-12-06
2019-12-06,883,1998-02-01,2019-12-06
2019-12-06,987,1998-03-01,2019-12-06
2019-12-06,1022,1998-04-01,2019-12-06
2019-12-06,986,1998-05-01,2019-12-06
2019-12-06,1016,1998-06-01,2019-12-06
2019-12-06,1042,1998-07-01,2019-12-06
2019-12-06,1025,1998-08-01,2019-12-06
2019-12-06,1005,1998-09-01,2019-12-06
2019-12-06,1197,1998-10-01,2019-12-06
2019-12-06,2011,1998-11-01,2019-12-06
2019-12-06,3801,1998-12-01,2019-12-06
2019-12-06,933,1999-01-01,2019-12-06
2019-12-06,966,1999-02-01,2019-12-06
2019-12-06,1135,1999-03-01,2019-12-06
2019-12-06,1076,1999-04-01,2019-12-06
2019-12-06,1061,1999-05-01,2019-12-06
2019-12-06,1101,1999-06-01,2019-12-06
2019-12-06,1083,1999-07-01,2019-12-06
2019-12-06,1101,1999-08-01,2019-12-06
2019-12-06,1111,1999-09-01,2019-12-06
2019-12-06,1277,1999-10-01,2019-12-06
2019-12-06,2096,1999-11-01,2019-12-06
2019-12-06,3711,1999-12-01,2019-12-06
2019-12-06,893,2000-01-01,2019-12-06
2019-12-06,1002,2000-02-01,2019-12-06
2019-12-06,1106,2000-03-01,2019-12-06
2019-12-06,1136,2000-04-01,2019-12-06
2019-12-06,1072,2000-05-01,2019-12-06
2019-12-06,1098,2000-06-01,2019-12-06
2019-12-06,1124,2000-07-01,2019-12-06
2019-12-06,1132,2000-08-01,2019-12-06
2019-12-06,1175,2000-09-01,2019-12-06
2019-12-06,1285,2000-10-01,2019-12-06
2019-12-06,2161,2000-11-01,2019-12-06
2019-12-06,3763,2000-12-01,2019-12-06
2019-12-06,880,2001-01-01,2019-12-06
2019-12-06,971,2001-02-01,2019-12-06
2019-12-06,1176,2001-03-01,2019-12-06
2019-12-06,1063,2001-04-01,2019-12-06
2019-12-06,1038,2001-05-01,2019-12-06
2019-12-06,1107,2001-06-01,2019-12-06
2019-12-06,1094,2001-07-01,2019-12-06
2019-12-06,1065,2001-08-01,2019-12-06
2019-12-06,1050,2001-09-01,2019-12-06
2019-12-06,1303,2001-10-01,2019-12-06
2019-12-06,2445,2001-11-01,2019-12-06
2019-12-06,3628,2001-12-01,2019-12-06
2019-12-06,896,2002-01-01,2019-12-06
2019-12-06,966,2002-02-01,2019-12-06
2019-12-06,1186,2002-03-01,2019-12-06
2019-12-06,1014,2002-04-01,2019-12-06
2019-12-06,1078,2002-05-01,2019-12-06
2019-12-06,1065,2002-06-01,2019-12-06
2019-12-06,1103,2002-07-01,2019-12-06
2019-12-06,1087,2002-08-01,2019-12-06
2019-12-06,1048,2002-09-01,2019-12-06
2019-12-06,1347,2002-10-01,2019-12-06
2019-12-06,2468,2002-11-01,2019-12-06
2019-12-06,3651,2002-12-01,2019-12-06
2019-12-06,910,2003-01-01,2019-12-06
2019-12-06,940,2003-02-01,2019-12-06
2019-12-06,1111,2003-03-01,2019-12-06
2019-12-06,1139,2003-04-01,2019-12-06
2019-12-06,1088,2003-05-01,2019-12-06
2019-12-06,1064,2003-06-01,2019-12-06
2019-12-06,1094,2003-07-01,2019-12-06
2019-12-06,1087,2003-08-01,2019-12-06
2019-12-06,1095,2003-09-01,2019-12-06
2019-12-06,1286,2003-10-01,2019-12-06
2019-12-06,2223,2003-11-01,2019-12-06
2019-12-06,3545,2003-12-01,2019-12-06
2019-12-06,962,2004-01-01,2019-12-06
2019-12-06,1045,2004-02-01,2019-12-06
2019-12-06,1125,2004-03-01,2019-12-06
2019-12-06,1082,2004-04-01,2019-12-06
2019-12-06,974,2004-05-01,2019-12-06
2019-12-06,1024,2004-06-01,2019-12-06
2019-12-06,1086,2004-07-01,2019-12-06
2019-12-06,1016,2004-08-01,2019-12-06
2019-12-06,1051,2004-09-01,2019-12-06
2019-12-06,1311,2004-10-01,2019-12-06
2019-12-06,2187,2004-11-01,2019-12-06
2019-12-06,3451,2004-12-01,2019-12-06
2019-12-06,950,2005-01-01,2019-12-06
2019-12-06,980,2005-02-01,2019-12-06
2019-12-06,1173,2005-03-01,2019-12-06
2019-12-06,1098,2005-04-01,2019-12-06
2019-12-06,1061,2005-05-01,2019-12-06
2019-12-06,1049,2005-06-01,2019-12-06
2019-12-06,1077,2005-07-01,2019-12-06
2019-12-06,1028,2005-08-01,2019-12-06
2019-12-06,1019,2005-09-01,2019-12-06
2019-12-06,1229,2005-10-01,2019-12-06
2019-12-06,2120,2005-11-01,2019-12-06
2019-12-06,3471,2005-12-01,2019-12-06
2019-12-06,1063,2006-01-01,2019-12-06
2019-12-06,1022,2006-02-01,2019-12-06
2019-12-06,1117,2006-03-01,2019-12-06
2019-12-06,1094,2006-04-01,2019-12-06
2019-12-06,1040,2006-05-01,2019-12-06
2019-12-06,1048,2006-06-01,2019-12-06
2019-12-06,1070,2006-07-01,2019-12-06
2019-12-06,1043,2006-08-01,2019-12-06
2019-12-06,1086,2006-09-01,2019-12-06
2019-12-06,1205,2006-10-01,2019-12-06
2019-12-06,1933,2006-11-01,2019-12-06
2019-12-06,3299,2006-12-01,2019-12-06
2019-12-06,948,2007-01-01,2019-12-06
2019-12-06,974,2007-02-01,2019-12-06
