realtime_start,value,date,realtime_end
2019-12-06,3311,1992-01-01,2019-12-06
2019-12-06,3360,1992-02-01,2019-12-06
2019-12-06,3445,1992-03-01,2019-12-06
2019-12-06,3415,1992-04-01,2019-12-06
2019-12-06,3510,1992-05-01,2019-12-06
2019-12-06,3521,1992-06-01,2019-12-06
2019-12-06,3470,1992-07-01,2019-12-06
2019-12-06,3461,1992-08-01,2019-12-06
2019-12-06,3521,1992-09-01,2019-12-06
2019-12-06,3576,1992-10-01,2019-12-06
2019-12-06,3592,1992-11-01,2019-12-06
2019-12-06,3579,1992-12-01,2019-12-06
2019-12-06,3600,1993-01-01,2019-12-06
2019-12-06,3636,1993-02-01,2019-12-06
2019-12-06,3525,1993-03-01,2019-12-06
2019-12-06,3672,1993-04-01,2019-12-06
2019-12-06,3739,1993-05-01,2019-12-06
2019-12-06,3721,1993-06-01,2019-12-06
2019-12-06,3811,1993-07-01,2019-12-06
2019-12-06,3815,1993-08-01,2019-12-06
2019-12-06,3861,1993-09-01,2019-12-06
2019-12-06,3837,1993-10-01,2019-12-06
2019-12-06,3810,1993-11-01,2019-12-06
2019-12-06,3761,1993-12-01,2019-12-06
2019-12-06,3984,1994-01-01,2019-12-06
2019-12-06,4037,1994-02-01,2019-12-06
2019-12-06,4040,1994-03-01,2019-12-06
2019-12-06,4100,1994-04-01,2019-12-06
2019-12-06,4017,1994-05-01,2019-12-06
2019-12-06,4066,1994-06-01,2019-12-06
2019-12-06,4138,1994-07-01,2019-12-06
2019-12-06,4179,1994-08-01,2019-12-06
2019-12-06,4127,1994-09-01,2019-12-06
2019-12-06,4185,1994-10-01,2019-12-06
2019-12-06,4189,1994-11-01,2019-12-06
2019-12-06,4223,1994-12-01,2019-12-06
2019-12-06,4233,1995-01-01,2019-12-06
2019-12-06,4153,1995-02-01,2019-12-06
2019-12-06,4199,1995-03-01,2019-12-06
2019-12-06,4274,1995-04-01,2019-12-06
2019-12-06,4276,1995-05-01,2019-12-06
2019-12-06,4340,1995-06-01,2019-12-06
2019-12-06,4312,1995-07-01,2019-12-06
2019-12-06,4397,1995-08-01,2019-12-06
2019-12-06,4405,1995-09-01,2019-12-06
2019-12-06,4404,1995-10-01,2019-12-06
2019-12-06,4520,1995-11-01,2019-12-06
2019-12-06,4476,1995-12-01,2019-12-06
2019-12-06,4484,1996-01-01,2019-12-06
2019-12-06,4557,1996-02-01,2019-12-06
2019-12-06,4539,1996-03-01,2019-12-06
2019-12-06,4569,1996-04-01,2019-12-06
2019-12-06,4596,1996-05-01,2019-12-06
2019-12-06,4626,1996-06-01,2019-12-06
2019-12-06,4645,1996-07-01,2019-12-06
2019-12-06,4573,1996-08-01,2019-12-06
2019-12-06,4617,1996-09-01,2019-12-06
2019-12-06,4732,1996-10-01,2019-12-06
2019-12-06,4704,1996-11-01,2019-12-06
2019-12-06,4766,1996-12-01,2019-12-06
2019-12-06,4787,1997-01-01,2019-12-06
2019-12-06,4807,1997-02-01,2019-12-06
2019-12-06,4860,1997-03-01,2019-12-06
2019-12-06,4856,1997-04-01,2019-12-06
2019-12-06,4785,1997-05-01,2019-12-06
2019-12-06,4890,1997-06-01,2019-12-06
2019-12-06,4909,1997-07-01,2019-12-06
2019-12-06,4952,1997-08-01,2019-12-06
2019-12-06,4979,1997-09-01,2019-12-06
2019-12-06,4915,1997-10-01,2019-12-06
2019-12-06,4996,1997-11-01,2019-12-06
2019-12-06,4818,1997-12-01,2019-12-06
2019-12-06,4943,1998-01-01,2019-12-06
2019-12-06,4959,1998-02-01,2019-12-06
2019-12-06,5013,1998-03-01,2019-12-06
2019-12-06,4946,1998-04-01,2019-12-06
2019-12-06,5040,1998-05-01,2019-12-06
2019-12-06,4958,1998-06-01,2019-12-06
2019-12-06,4994,1998-07-01,2019-12-06
2019-12-06,4981,1998-08-01,2019-12-06
2019-12-06,5015,1998-09-01,2019-12-06
2019-12-06,5073,1998-10-01,2019-12-06
2019-12-06,5015,1998-11-01,2019-12-06
2019-12-06,5073,1998-12-01,2019-12-06
2019-12-06,5117,1999-01-01,2019-12-06
2019-12-06,5144,1999-02-01,2019-12-06
2019-12-06,5087,1999-03-01,2019-12-06
2019-12-06,5185,1999-04-01,2019-12-06
2019-12-06,5165,1999-05-01,2019-12-06
2019-12-06,5165,1999-06-01,2019-12-06
2019-12-06,5195,1999-07-01,2019-12-06
2019-12-06,5150,1999-08-01,2019-12-06
2019-12-06,5358,1999-09-01,2019-12-06
2019-12-06,5344,1999-10-01,2019-12-06
2019-12-06,5434,1999-11-01,2019-12-06
2019-12-06,5350,1999-12-01,2019-12-06
2019-12-06,5373,2000-01-01,2019-12-06
2019-12-06,5284,2000-02-01,2019-12-06
2019-12-06,5406,2000-03-01,2019-12-06
2019-12-06,5220,2000-04-01,2019-12-06
2019-12-06,5289,2000-05-01,2019-12-06
2019-12-06,5293,2000-06-01,2019-12-06
2019-12-06,5210,2000-07-01,2019-12-06
2019-12-06,5236,2000-08-01,2019-12-06
2019-12-06,5490,2000-09-01,2019-12-06
2019-12-06,5191,2000-10-01,2019-12-06
2019-12-06,5166,2000-11-01,2019-12-06
2019-12-06,5317,2000-12-01,2019-12-06
2019-12-06,4956,2001-01-01,2019-12-06
2019-12-06,5020,2001-02-01,2019-12-06
2019-12-06,5036,2001-03-01,2019-12-06
2019-12-06,5130,2001-04-01,2019-12-06
2019-12-06,5117,2001-05-01,2019-12-06
2019-12-06,5144,2001-06-01,2019-12-06
2019-12-06,5151,2001-07-01,2019-12-06
2019-12-06,5167,2001-08-01,2019-12-06
2019-12-06,5072,2001-09-01,2019-12-06
2019-12-06,5103,2001-10-01,2019-12-06
2019-12-06,5088,2001-11-01,2019-12-06
2019-12-06,5111,2001-12-01,2019-12-06
2019-12-06,5180,2002-01-01,2019-12-06
2019-12-06,5189,2002-02-01,2019-12-06
2019-12-06,5110,2002-03-01,2019-12-06
2019-12-06,5226,2002-04-01,2019-12-06
2019-12-06,5204,2002-05-01,2019-12-06
2019-12-06,5250,2002-06-01,2019-12-06
2019-12-06,5284,2002-07-01,2019-12-06
2019-12-06,5280,2002-08-01,2019-12-06
2019-12-06,5272,2002-09-01,2019-12-06
2019-12-06,5234,2002-10-01,2019-12-06
2019-12-06,5213,2002-11-01,2019-12-06
2019-12-06,5159,2002-12-01,2019-12-06
2019-12-06,5219,2003-01-01,2019-12-06
2019-12-06,5199,2003-02-01,2019-12-06
2019-12-06,5265,2003-03-01,2019-12-06
2019-12-06,5250,2003-04-01,2019-12-06
2019-12-06,5307,2003-05-01,2019-12-06
2019-12-06,5341,2003-06-01,2019-12-06
2019-12-06,5369,2003-07-01,2019-12-06
2019-12-06,5381,2003-08-01,2019-12-06
2019-12-06,5500,2003-09-01,2019-12-06
2019-12-06,5476,2003-10-01,2019-12-06
2019-12-06,5499,2003-11-01,2019-12-06
2019-12-06,5422,2003-12-01,2019-12-06
2019-12-06,5439,2004-01-01,2019-12-06
2019-12-06,5507,2004-02-01,2019-12-06
2019-12-06,5577,2004-03-01,2019-12-06
2019-12-06,5481,2004-04-01,2019-12-06
2019-12-06,5541,2004-05-01,2019-12-06
2019-12-06,5476,2004-06-01,2019-12-06
2019-12-06,5530,2004-07-01,2019-12-06
2019-12-06,5526,2004-08-01,2019-12-06
2019-12-06,5514,2004-09-01,2019-12-06
2019-12-06,5610,2004-10-01,2019-12-06
2019-12-06,5603,2004-11-01,2019-12-06
2019-12-06,5743,2004-12-01,2019-12-06
2019-12-06,5935,2005-01-01,2019-12-06
2019-12-06,5824,2005-02-01,2019-12-06
2019-12-06,5728,2005-03-01,2019-12-06
2019-12-06,5853,2005-04-01,2019-12-06
2019-12-06,5754,2005-05-01,2019-12-06
2019-12-06,5828,2005-06-01,2019-12-06
2019-12-06,5784,2005-07-01,2019-12-06
2019-12-06,5833,2005-08-01,2019-12-06
2019-12-06,5769,2005-09-01,2019-12-06
2019-12-06,5799,2005-10-01,2019-12-06
2019-12-06,6022,2005-11-01,2019-12-06
2019-12-06,6024,2005-12-01,2019-12-06
2019-12-06,6210,2006-01-01,2019-12-06
2019-12-06,6031,2006-02-01,2019-12-06
2019-12-06,6013,2006-03-01,2019-12-06
2019-12-06,5989,2006-04-01,2019-12-06
2019-12-06,5901,2006-05-01,2019-12-06
2019-12-06,5962,2006-06-01,2019-12-06
2019-12-06,6014,2006-07-01,2019-12-06
2019-12-06,6030,2006-08-01,2019-12-06
2019-12-06,6103,2006-09-01,2019-12-06
2019-12-06,6074,2006-10-01,2019-12-06
2019-12-06,6001,2006-11-01,2019-12-06
2019-12-06,6118,2006-12-01,2019-12-06
2019-12-06,6105,2007-01-01,2019-12-06
2019-12-06,6047,2007-02-01,2019-12-06
2019-12-06,6248,2007-03-01,2019-12-06
2019-12-06,6131,2007-04-01,2019-12-06
2019-12-06,6268,2007-05-01,2019-12-06
2019-12-06,6194,2007-06-01,2019-12-06
2019-12-06,6229,2007-07-01,2019-12-06
2019-12-06,6261,2007-08-01,2019-12-06
2019-12-06,6295,2007-09-01,2019-12-06
2019-12-06,6411,2007-10-01,2019-12-06
2019-12-06,6283,2007-11-01,2019-12-06
2019-12-06,6219,2007-12-01,2019-12-06
2019-12-06,6228,2008-01-01,2019-12-06
2019-12-06,6230,2008-02-01,2019-12-06
2019-12-06,6237,2008-03-01,2019-12-06
2019-12-06,6287,2008-04-01,2019-12-06
2019-12-06,6374,2008-05-01,2019-12-06
2019-12-06,6422,2008-06-01,2019-12-06
2019-12-06,6463,2008-07-01,2019-12-06
2019-12-06,6298,2008-08-01,2019-12-06
2019-12-06,6349,2008-09-01,2019-12-06
2019-12-06,6346,2008-10-01,2019-12-06
2019-12-06,6442,2008-11-01,2019-12-06
2019-12-06,6395,2008-12-01,2019-12-06
2019-12-06,6411,2009-01-01,2019-12-06
2019-12-06,6366,2009-02-01,2019-12-06
2019-12-06,6247,2009-03-01,2019-12-06
2019-12-06,6277,2009-04-01,2019-12-06
2019-12-06,6262,2009-05-01,2019-12-06
2019-12-06,6204,2009-06-01,2019-12-06
2019-12-06,6143,2009-07-01,2019-12-06
2019-12-06,6102,2009-08-01,2019-12-06
2019-12-06,6051,2009-09-01,2019-12-06
2019-12-06,6098,2009-10-01,2019-12-06
2019-12-06,6016,2009-11-01,2019-12-06
2019-12-06,6089,2009-12-01,2019-12-06
2019-12-06,6104,2010-01-01,2019-12-06
2019-12-06,6218,2010-02-01,2019-12-06
2019-12-06,6320,2010-03-01,2019-12-06
2019-12-06,6491,2010-04-01,2019-12-06
2019-12-06,6413,2010-05-01,2019-12-06
2019-12-06,6452,2010-06-01,2019-12-06
2019-12-06,6463,2010-07-01,2019-12-06
2019-12-06,6654,2010-08-01,2019-12-06
2019-12-06,6634,2010-09-01,2019-12-06
2019-12-06,6670,2010-10-01,2019-12-06
2019-12-06,6706,2010-11-01,2019-12-06
2019-12-06,6778,2010-12-01,2019-12-06
2019-12-06,6609,2011-01-01,2019-12-06
2019-12-06,6664,2011-02-01,2019-12-06
2019-12-06,6812,2011-03-01,2019-12-06
2019-12-06,6744,2011-04-01,2019-12-06
2019-12-06,6828,2011-05-01,2019-12-06
2019-12-06,7029,2011-06-01,2019-12-06
2019-12-06,6954,2011-07-01,2019-12-06
2019-12-06,7107,2011-08-01,2019-12-06
2019-12-06,7141,2011-09-01,2019-12-06
2019-12-06,7025,2011-10-01,2019-12-06
2019-12-06,7057,2011-11-01,2019-12-06
2019-12-06,7022,2011-12-01,2019-12-06
2019-12-06,7193,2012-01-01,2019-12-06
2019-12-06,7067,2012-02-01,2019-12-06
2019-12-06,6987,2012-03-01,2019-12-06
2019-12-06,7004,2012-04-01,2019-12-06
2019-12-06,6946,2012-05-01,2019-12-06
2019-12-06,6942,2012-06-01,2019-12-06
2019-12-06,7044,2012-07-01,2019-12-06
2019-12-06,6911,2012-08-01,2019-12-06
2019-12-06,7055,2012-09-01,2019-12-06
2019-12-06,7038,2012-10-01,2019-12-06
2019-12-06,6972,2012-11-01,2019-12-06
2019-12-06,6970,2012-12-01,2019-12-06
2019-12-06,6984,2013-01-01,2019-12-06
2019-12-06,7089,2013-02-01,2019-12-06
2019-12-06,6995,2013-03-01,2019-12-06
2019-12-06,6953,2013-04-01,2019-12-06
2019-12-06,7060,2013-05-01,2019-12-06
2019-12-06,6994,2013-06-01,2019-12-06
2019-12-06,7037,2013-07-01,2019-12-06
2019-12-06,7109,2013-08-01,2019-12-06
2019-12-06,7074,2013-09-01,2019-12-06
2019-12-06,7205,2013-10-01,2019-12-06
2019-12-06,7272,2013-11-01,2019-12-06
2019-12-06,7303,2013-12-01,2019-12-06
2019-12-06,7171,2014-01-01,2019-12-06
2019-12-06,7243,2014-02-01,2019-12-06
2019-12-06,7236,2014-03-01,2019-12-06
2019-12-06,7227,2014-04-01,2019-12-06
2019-12-06,7117,2014-05-01,2019-12-06
2019-12-06,7030,2014-06-01,2019-12-06
2019-12-06,7019,2014-07-01,2019-12-06
2019-12-06,7105,2014-08-01,2019-12-06
2019-12-06,7074,2014-09-01,2019-12-06
2019-12-06,7093,2014-10-01,2019-12-06
2019-12-06,7481,2014-11-01,2019-12-06
2019-12-06,7046,2014-12-01,2019-12-06
2019-12-06,7198,2015-01-01,2019-12-06
2019-12-06,7275,2015-02-01,2019-12-06
2019-12-06,7330,2015-03-01,2019-12-06
2019-12-06,7426,2015-04-01,2019-12-06
2019-12-06,7468,2015-05-01,2019-12-06
2019-12-06,7540,2015-06-01,2019-12-06
2019-12-06,7591,2015-07-01,2019-12-06
2019-12-06,7483,2015-08-01,2019-12-06
2019-12-06,7431,2015-09-01,2019-12-06
2019-12-06,7450,2015-10-01,2019-12-06
2019-12-06,7577,2015-11-01,2019-12-06
2019-12-06,7486,2015-12-01,2019-12-06
2019-12-06,7651,2016-01-01,2019-12-06
2019-12-06,7591,2016-02-01,2019-12-06
2019-12-06,7496,2016-03-01,2019-12-06
2019-12-06,7403,2016-04-01,2019-12-06
2019-12-06,7462,2016-05-01,2019-12-06
2019-12-06,7541,2016-06-01,2019-12-06
2019-12-06,7437,2016-07-01,2019-12-06
2019-12-06,7512,2016-08-01,2019-12-06
2019-12-06,7450,2016-09-01,2019-12-06
2019-12-06,7522,2016-10-01,2019-12-06
2019-12-06,7417,2016-11-01,2019-12-06
2019-12-06,7972,2016-12-01,2019-12-06
2019-12-06,7618,2017-01-01,2019-12-06
2019-12-06,7472,2017-02-01,2019-12-06
2019-12-06,7563,2017-03-01,2019-12-06
2019-12-06,7605,2017-04-01,2019-12-06
2019-12-06,7547,2017-05-01,2019-12-06
2019-12-06,7492,2017-06-01,2019-12-06
2019-12-06,7556,2017-07-01,2019-12-06
2019-12-06,7475,2017-08-01,2019-12-06
2019-12-06,7643,2017-09-01,2019-12-06
2019-12-06,7523,2017-10-01,2019-12-06
2019-12-06,7645,2017-11-01,2019-12-06
2019-12-06,7871,2017-12-01,2019-12-06
2019-12-06,7613,2018-01-01,2019-12-06
2019-12-06,7562,2018-02-01,2019-12-06
2019-12-06,7561,2018-03-01,2019-12-06
2019-12-06,7599,2018-04-01,2019-12-06
2019-12-06,7677,2018-05-01,2019-12-06
2019-12-06,7667,2018-06-01,2019-12-06
2019-12-06,7759,2018-07-01,2019-12-06
2019-12-06,7724,2018-08-01,2019-12-06
2019-12-06,7820,2018-09-01,2019-12-06
2019-12-06,7847,2018-10-01,2019-12-06
2019-12-06,7838,2018-11-01,2019-12-06
2019-12-06,7795,2018-12-01,2019-12-06
2019-12-06,7742,2019-01-01,2019-12-06
2019-12-06,7847,2019-02-01,2019-12-06
2019-12-06,8017,2019-03-01,2019-12-06
2019-12-06,8015,2019-04-01,2019-12-06
2019-12-06,8004,2019-05-01,2019-12-06
2019-12-06,7989,2019-06-01,2019-12-06
2019-12-06,7982,2019-07-01,2019-12-06
2019-12-06,8137,2019-08-01,2019-12-06
2019-12-06,7999,2019-09-01,2019-12-06
