realtime_start,value,date,realtime_end
2019-12-06,1744,1992-01-01,2019-12-06
2019-12-06,1990,1992-02-01,2019-12-06
2019-12-06,2177,1992-03-01,2019-12-06
2019-12-06,2601,1992-04-01,2019-12-06
2019-12-06,2171,1992-05-01,2019-12-06
2019-12-06,2207,1992-06-01,2019-12-06
2019-12-06,2251,1992-07-01,2019-12-06
2019-12-06,2087,1992-08-01,2019-12-06
2019-12-06,2016,1992-09-01,2019-12-06
2019-12-06,2149,1992-10-01,2019-12-06
2019-12-06,1667,1992-11-01,2019-12-06
2019-12-06,1583,1992-12-01,2019-12-06
2019-12-06,2022,1993-01-01,2019-12-06
2019-12-06,2199,1993-02-01,2019-12-06
2019-12-06,2526,1993-03-01,2019-12-06
2019-12-06,2564,1993-04-01,2019-12-06
2019-12-06,2309,1993-05-01,2019-12-06
2019-12-06,2393,1993-06-01,2019-12-06
2019-12-06,2485,1993-07-01,2019-12-06
2019-12-06,2287,1993-08-01,2019-12-06
2019-12-06,2167,1993-09-01,2019-12-06
2019-12-06,2339,1993-10-01,2019-12-06
2019-12-06,2253,1993-11-01,2019-12-06
2019-12-06,2060,1993-12-01,2019-12-06
2019-12-06,2199,1994-01-01,2019-12-06
2019-12-06,2432,1994-02-01,2019-12-06
2019-12-06,2669,1994-03-01,2019-12-06
2019-12-06,2782,1994-04-01,2019-12-06
2019-12-06,2638,1994-05-01,2019-12-06
2019-12-06,2769,1994-06-01,2019-12-06
2019-12-06,2774,1994-07-01,2019-12-06
2019-12-06,3119,1994-08-01,2019-12-06
2019-12-06,2887,1994-09-01,2019-12-06
2019-12-06,3136,1994-10-01,2019-12-06
2019-12-06,2564,1994-11-01,2019-12-06
2019-12-06,2470,1994-12-01,2019-12-06
2019-12-06,2709,1995-01-01,2019-12-06
2019-12-06,2833,1995-02-01,2019-12-06
2019-12-06,3296,1995-03-01,2019-12-06
2019-12-06,2998,1995-04-01,2019-12-06
2019-12-06,3180,1995-05-01,2019-12-06
2019-12-06,3303,1995-06-01,2019-12-06
2019-12-06,3492,1995-07-01,2019-12-06
2019-12-06,3445,1995-08-01,2019-12-06
2019-12-06,3223,1995-09-01,2019-12-06
2019-12-06,3074,1995-10-01,2019-12-06
2019-12-06,2931,1995-11-01,2019-12-06
2019-12-06,2558,1995-12-01,2019-12-06
2019-12-06,2871,1996-01-01,2019-12-06
2019-12-06,3451,1996-02-01,2019-12-06
2019-12-06,4046,1996-03-01,2019-12-06
2019-12-06,3879,1996-04-01,2019-12-06
2019-12-06,3727,1996-05-01,2019-12-06
2019-12-06,3538,1996-06-01,2019-12-06
2019-12-06,3571,1996-07-01,2019-12-06
2019-12-06,3511,1996-08-01,2019-12-06
2019-12-06,3221,1996-09-01,2019-12-06
2019-12-06,3526,1996-10-01,2019-12-06
2019-12-06,3262,1996-11-01,2019-12-06
2019-12-06,3006,1996-12-01,2019-12-06
2019-12-06,3377,1997-01-01,2019-12-06
2019-12-06,3834,1997-02-01,2019-12-06
2019-12-06,4089,1997-03-01,2019-12-06
2019-12-06,4115,1997-04-01,2019-12-06
2019-12-06,4022,1997-05-01,2019-12-06
2019-12-06,4088,1997-06-01,2019-12-06
2019-12-06,4066,1997-07-01,2019-12-06
2019-12-06,3864,1997-08-01,2019-12-06
2019-12-06,3741,1997-09-01,2019-12-06
2019-12-06,3822,1997-10-01,2019-12-06
2019-12-06,3294,1997-11-01,2019-12-06
2019-12-06,3374,1997-12-01,2019-12-06
2019-12-06,3681,1998-01-01,2019-12-06
2019-12-06,4154,1998-02-01,2019-12-06
2019-12-06,4523,1998-03-01,2019-12-06
2019-12-06,4400,1998-04-01,2019-12-06
2019-12-06,4356,1998-05-01,2019-12-06
2019-12-06,4723,1998-06-01,2019-12-06
2019-12-06,4535,1998-07-01,2019-12-06
2019-12-06,4476,1998-08-01,2019-12-06
2019-12-06,4138,1998-09-01,2019-12-06
2019-12-06,4535,1998-10-01,2019-12-06
2019-12-06,3730,1998-11-01,2019-12-06
2019-12-06,3691,1998-12-01,2019-12-06
2019-12-06,4115,1999-01-01,2019-12-06
2019-12-06,4597,1999-02-01,2019-12-06
2019-12-06,4921,1999-03-01,2019-12-06
2019-12-06,4824,1999-04-01,2019-12-06
2019-12-06,4950,1999-05-01,2019-12-06
2019-12-06,5047,1999-06-01,2019-12-06
2019-12-06,4895,1999-07-01,2019-12-06
2019-12-06,4892,1999-08-01,2019-12-06
2019-12-06,4509,1999-09-01,2019-12-06
2019-12-06,4516,1999-10-01,2019-12-06
2019-12-06,4292,1999-11-01,2019-12-06
2019-12-06,4095,1999-12-01,2019-12-06
2019-12-06,4381,2000-01-01,2019-12-06
2019-12-06,5327,2000-02-01,2019-12-06
2019-12-06,5434,2000-03-01,2019-12-06
2019-12-06,4841,2000-04-01,2019-12-06
2019-12-06,4986,2000-05-01,2019-12-06
2019-12-06,5161,2000-06-01,2019-12-06
2019-12-06,4989,2000-07-01,2019-12-06
2019-12-06,5089,2000-08-01,2019-12-06
2019-12-06,4860,2000-09-01,2019-12-06
2019-12-06,4574,2000-10-01,2019-12-06
2019-12-06,4089,2000-11-01,2019-12-06
2019-12-06,3928,2000-12-01,2019-12-06
2019-12-06,4648,2001-01-01,2019-12-06
2019-12-06,4917,2001-02-01,2019-12-06
2019-12-06,5359,2001-03-01,2019-12-06
2019-12-06,4991,2001-04-01,2019-12-06
2019-12-06,5390,2001-05-01,2019-12-06
2019-12-06,5169,2001-06-01,2019-12-06
2019-12-06,4906,2001-07-01,2019-12-06
2019-12-06,5142,2001-08-01,2019-12-06
2019-12-06,4291,2001-09-01,2019-12-06
2019-12-06,4903,2001-10-01,2019-12-06
2019-12-06,4444,2001-11-01,2019-12-06
2019-12-06,4103,2001-12-01,2019-12-06
2019-12-06,4802,2002-01-01,2019-12-06
2019-12-06,5226,2002-02-01,2019-12-06
2019-12-06,5212,2002-03-01,2019-12-06
2019-12-06,5260,2002-04-01,2019-12-06
2019-12-06,5342,2002-05-01,2019-12-06
2019-12-06,5199,2002-06-01,2019-12-06
2019-12-06,5229,2002-07-01,2019-12-06
2019-12-06,5542,2002-08-01,2019-12-06
2019-12-06,4855,2002-09-01,2019-12-06
2019-12-06,5143,2002-10-01,2019-12-06
2019-12-06,4736,2002-11-01,2019-12-06
2019-12-06,4377,2002-12-01,2019-12-06
2019-12-06,5209,2003-01-01,2019-12-06
2019-12-06,5477,2003-02-01,2019-12-06
2019-12-06,5877,2003-03-01,2019-12-06
2019-12-06,5572,2003-04-01,2019-12-06
2019-12-06,5586,2003-05-01,2019-12-06
2019-12-06,5324,2003-06-01,2019-12-06
2019-12-06,5466,2003-07-01,2019-12-06
2019-12-06,5494,2003-08-01,2019-12-06
2019-12-06,5072,2003-09-01,2019-12-06
2019-12-06,5014,2003-10-01,2019-12-06
2019-12-06,4528,2003-11-01,2019-12-06
2019-12-06,4436,2003-12-01,2019-12-06
2019-12-06,5053,2004-01-01,2019-12-06
2019-12-06,5538,2004-02-01,2019-12-06
2019-12-06,6055,2004-03-01,2019-12-06
2019-12-06,5564,2004-04-01,2019-12-06
2019-12-06,5882,2004-05-01,2019-12-06
2019-12-06,5548,2004-06-01,2019-12-06
2019-12-06,5773,2004-07-01,2019-12-06
2019-12-06,5948,2004-08-01,2019-12-06
2019-12-06,5546,2004-09-01,2019-12-06
2019-12-06,5785,2004-10-01,2019-12-06
2019-12-06,5481,2004-11-01,2019-12-06
2019-12-06,5348,2004-12-01,2019-12-06
2019-12-06,5803,2005-01-01,2019-12-06
2019-12-06,6480,2005-02-01,2019-12-06
2019-12-06,6602,2005-03-01,2019-12-06
2019-12-06,6036,2005-04-01,2019-12-06
2019-12-06,5955,2005-05-01,2019-12-06
2019-12-06,6018,2005-06-01,2019-12-06
2019-12-06,6080,2005-07-01,2019-12-06
2019-12-06,6419,2005-08-01,2019-12-06
2019-12-06,5684,2005-09-01,2019-12-06
2019-12-06,5597,2005-10-01,2019-12-06
2019-12-06,5325,2005-11-01,2019-12-06
2019-12-06,5125,2005-12-01,2019-12-06
2019-12-06,5811,2006-01-01,2019-12-06
2019-12-06,6245,2006-02-01,2019-12-06
2019-12-06,7009,2006-03-01,2019-12-06
2019-12-06,6470,2006-04-01,2019-12-06
2019-12-06,6638,2006-05-01,2019-12-06
2019-12-06,6522,2006-06-01,2019-12-06
2019-12-06,6371,2006-07-01,2019-12-06
2019-12-06,6653,2006-08-01,2019-12-06
2019-12-06,6204,2006-09-01,2019-12-06
2019-12-06,6146,2006-10-01,2019-12-06
2019-12-06,5634,2006-11-01,2019-12-06
2019-12-06,5473,2006-12-01,2019-12-06
2019-12-06,6089,2007-01-01,2019-12-06
2019-12-06,6625,2007-02-01,2019-12-06
2019-12-06,7276,2007-03-01,2019-12-06
2019-12-06,6734,2007-04-01,2019-12-06
2019-12-06,7186,2007-05-01,2019-12-06
2019-12-06,6850,2007-06-01,2019-12-06
