realtime_start,value,date,realtime_end
2019-12-06,242271,2003-01-01,2019-12-06
2019-12-06,233478,2003-02-01,2019-12-06
2019-12-06,264532,2003-03-01,2019-12-06
2019-12-06,265990,2003-04-01,2019-12-06
2019-12-06,281482,2003-05-01,2019-12-06
2019-12-06,271242,2003-06-01,2019-12-06
2019-12-06,279323,2003-07-01,2019-12-06
2019-12-06,285212,2003-08-01,2019-12-06
2019-12-06,265331,2003-09-01,2019-12-06
2019-12-06,273781,2003-10-01,2019-12-06
2019-12-06,272396,2003-11-01,2019-12-06
2019-12-06,327693,2003-12-01,2019-12-06
2019-12-06,252818,2004-01-01,2019-12-06
2019-12-06,253689,2004-02-01,2019-12-06
2019-12-06,287944,2004-03-01,2019-12-06
2019-12-06,284325,2004-04-01,2019-12-06
2019-12-06,296253,2004-05-01,2019-12-06
2019-12-06,289664,2004-06-01,2019-12-06
2019-12-06,294875,2004-07-01,2019-12-06
2019-12-06,294133,2004-08-01,2019-12-06
2019-12-06,282974,2004-09-01,2019-12-06
2019-12-06,287468,2004-10-01,2019-12-06
2019-12-06,294278,2004-11-01,2019-12-06
2019-12-06,354627,2004-12-01,2019-12-06
2019-12-06,263469,2005-01-01,2019-12-06
2019-12-06,265320,2005-02-01,2019-12-06
2019-12-06,306384,2005-03-01,2019-12-06
2019-12-06,302054,2005-04-01,2019-12-06
2019-12-06,311292,2005-05-01,2019-12-06
2019-12-06,317375,2005-06-01,2019-12-06
2019-12-06,316887,2005-07-01,2019-12-06
2019-12-06,321409,2005-08-01,2019-12-06
2019-12-06,300439,2005-09-01,2019-12-06
2019-12-06,302213,2005-10-01,2019-12-06
2019-12-06,311715,2005-11-01,2019-12-06
2019-12-06,370726,2005-12-01,2019-12-06
2019-12-06,286152,2006-01-01,2019-12-06
2019-12-06,282417,2006-02-01,2019-12-06
2019-12-06,326153,2006-03-01,2019-12-06
2019-12-06,316526,2006-04-01,2019-12-06
2019-12-06,337393,2006-05-01,2019-12-06
2019-12-06,330844,2006-06-01,2019-12-06
2019-12-06,325905,2006-07-01,2019-12-06
2019-12-06,339155,2006-08-01,2019-12-06
2019-12-06,310775,2006-09-01,2019-12-06
2019-12-06,312976,2006-10-01,2019-12-06
2019-12-06,323089,2006-11-01,2019-12-06
2019-12-06,380188,2006-12-01,2019-12-06
2019-12-06,295284,2007-01-01,2019-12-06
2019-12-06,290065,2007-02-01,2019-12-06
2019-12-06,335917,2007-03-01,2019-12-06
2019-12-06,321981,2007-04-01,2019-12-06
2019-12-06,353201,2007-05-01,2019-12-06
2019-12-06,338189,2007-06-01,2019-12-06
2019-12-06,333815,2007-07-01,2019-12-06
2019-12-06,349191,2007-08-01,2019-12-06
2019-12-06,317145,2007-09-01,2019-12-06
2019-12-06,331073,2007-10-01,2019-12-06
2019-12-06,341848,2007-11-01,2019-12-06
2019-12-06,387473,2007-12-01,2019-12-06
2019-12-06,307576,2008-01-01,2019-12-06
2019-12-06,308171,2008-02-01,2019-12-06
2019-12-06,334416,2008-03-01,2019-12-06
2019-12-06,331002,2008-04-01,2019-12-06
2019-12-06,357277,2008-05-01,2019-12-06
2019-12-06,339791,2008-06-01,2019-12-06
2019-12-06,344158,2008-07-01,2019-12-06
2019-12-06,342443,2008-08-01,2019-12-06
2019-12-06,313308,2008-09-01,2019-12-06
2019-12-06,311422,2008-10-01,2019-12-06
2019-12-06,299238,2008-11-01,2019-12-06
2019-12-06,346513,2008-12-01,2019-12-06
2019-12-06,273998,2009-01-01,2019-12-06
2019-12-06,264465,2009-02-01,2019-12-06
2019-12-06,290068,2009-03-01,2019-12-06
2019-12-06,292041,2009-04-01,2019-12-06
2019-12-06,307481,2009-05-01,2019-12-06
2019-12-06,306050,2009-06-01,2019-12-06
2019-12-06,308847,2009-07-01,2019-12-06
2019-12-06,314505,2009-08-01,2019-12-06
2019-12-06,288071,2009-09-01,2019-12-06
2019-12-06,300360,2009-10-01,2019-12-06
2019-12-06,303850,2009-11-01,2019-12-06
2019-12-06,362735,2009-12-01,2019-12-06
2019-12-06,279044,2010-01-01,2019-12-06
2019-12-06,275566,2010-02-01,2019-12-06
2019-12-06,321305,2010-03-01,2019-12-06
2019-12-06,316940,2010-04-01,2019-12-06
2019-12-06,324820,2010-05-01,2019-12-06
2019-12-06,319183,2010-06-01,2019-12-06
2019-12-06,320915,2010-07-01,2019-12-06
2019-12-06,322319,2010-08-01,2019-12-06
2019-12-06,307638,2010-09-01,2019-12-06
2019-12-06,315059,2010-10-01,2019-12-06
2019-12-06,328381,2010-11-01,2019-12-06
2019-12-06,386878,2010-12-01,2019-12-06
2019-12-06,298626,2011-01-01,2019-12-06
2019-12-06,299920,2011-02-01,2019-12-06
2019-12-06,345052,2011-03-01,2019-12-06
2019-12-06,339014,2011-04-01,2019-12-06
2019-12-06,348979,2011-05-01,2019-12-06
2019-12-06,346620,2011-06-01,2019-12-06
2019-12-06,341381,2011-07-01,2019-12-06
2019-12-06,352224,2011-08-01,2019-12-06
2019-12-06,333642,2011-09-01,2019-12-06
2019-12-06,337067,2011-10-01,2019-12-06
2019-12-06,351517,2011-11-01,2019-12-06
2019-12-06,408910,2011-12-01,2019-12-06
2019-12-06,315540,2012-01-01,2019-12-06
2019-12-06,331470,2012-02-01,2019-12-06
2019-12-06,368502,2012-03-01,2019-12-06
2019-12-06,349194,2012-04-01,2019-12-06
2019-12-06,373129,2012-05-01,2019-12-06
2019-12-06,356083,2012-06-01,2019-12-06
2019-12-06,351520,2012-07-01,2019-12-06
2019-12-06,372986,2012-08-01,2019-12-06
2019-12-06,342582,2012-09-01,2019-12-06
2019-12-06,355823,2012-10-01,2019-12-06
2019-12-06,368593,2012-11-01,2019-12-06
2019-12-06,416807,2012-12-01,2019-12-06
2019-12-06,333789,2013-01-01,2019-12-06
2019-12-06,332491,2013-02-01,2019-12-06
2019-12-06,374155,2013-03-01,2019-12-06
2019-12-06,362984,2013-04-01,2019-12-06
2019-12-06,389700,2013-05-01,2019-12-06
2019-12-06,369274,2013-06-01,2019-12-06
2019-12-06,376928,2013-07-01,2019-12-06
2019-12-06,388112,2013-08-01,2019-12-06
2019-12-06,352560,2013-09-01,2019-12-06
2019-12-06,369638,2013-10-01,2019-12-06
2019-12-06,378498,2013-11-01,2019-12-06
2019-12-06,430321,2013-12-01,2019-12-06
2019-12-06,340122,2014-01-01,2019-12-06
2019-12-06,337129,2014-02-01,2019-12-06
2019-12-06,383241,2014-03-01,2019-12-06
2019-12-06,383688,2014-04-01,2019-12-06
2019-12-06,408177,2014-05-01,2019-12-06
2019-12-06,385387,2014-06-01,2019-12-06
2019-12-06,394591,2014-07-01,2019-12-06
2019-12-06,401280,2014-08-01,2019-12-06
2019-12-06,374354,2014-09-01,2019-12-06
2019-12-06,388322,2014-10-01,2019-12-06
2019-12-06,391551,2014-11-01,2019-12-06
2019-12-06,451598,2014-12-01,2019-12-06
2019-12-06,350067,2015-01-01,2019-12-06
2019-12-06,341459,2015-02-01,2019-12-06
2019-12-06,392848,2015-03-01,2019-12-06
2019-12-06,387352,2015-04-01,2019-12-06
2019-12-06,409376,2015-05-01,2019-12-06
2019-12-06,397752,2015-06-01,2019-12-06
2019-12-06,406393,2015-07-01,2019-12-06
2019-12-06,404729,2015-08-01,2019-12-06
2019-12-06,382020,2015-09-01,2019-12-06
2019-12-06,392545,2015-10-01,2019-12-06
2019-12-06,396490,2015-11-01,2019-12-06
2019-12-06,464962,2015-12-01,2019-12-06
2019-12-06,351890,2016-01-01,2019-12-06
2019-12-06,363687,2016-02-01,2019-12-06
2019-12-06,405310,2016-03-01,2019-12-06
2019-12-06,395119,2016-04-01,2019-12-06
2019-12-06,413405,2016-05-01,2019-12-06
2019-12-06,410397,2016-06-01,2019-12-06
2019-12-06,406139,2016-07-01,2019-12-06
2019-12-06,416795,2016-08-01,2019-12-06
2019-12-06,394442,2016-09-01,2019-12-06
2019-12-06,397354,2016-10-01,2019-12-06
2019-12-06,414458,2016-11-01,2019-12-06
2019-12-06,482778,2016-12-01,2019-12-06
2019-12-06,368658,2017-01-01,2019-12-06
2019-12-06,365236,2017-02-01,2019-12-06
2019-12-06,422916,2017-03-01,2019-12-06
2019-12-06,407457,2017-04-01,2019-12-06
2019-12-06,435053,2017-05-01,2019-12-06
2019-12-06,423705,2017-06-01,2019-12-06
2019-12-06,417371,2017-07-01,2019-12-06
2019-12-06,432404,2017-08-01,2019-12-06
2019-12-06,413093,2017-09-01,2019-12-06
2019-12-06,418517,2017-10-01,2019-12-06
2019-12-06,443513,2017-11-01,2019-12-06
2019-12-06,498971,2017-12-01,2019-12-06
2019-12-06,390689,2018-01-01,2019-12-06
2019-12-06,381932,2018-02-01,2019-12-06
2019-12-06,446512,2018-03-01,2019-12-06
2019-12-06,421678,2018-04-01,2019-12-06
2019-12-06,465377,2018-05-01,2019-12-06
2019-12-06,445793,2018-06-01,2019-12-06
2019-12-06,443977,2018-07-01,2019-12-06
2019-12-06,458781,2018-08-01,2019-12-06
2019-12-06,420602,2018-09-01,2019-12-06
2019-12-06,444271,2018-10-01,2019-12-06
2019-12-06,463403,2018-11-01,2019-12-06
2019-12-06,500260,2018-12-01,2019-12-06
2019-12-06,402128,2019-01-01,2019-12-06
2019-12-06,387672,2019-02-01,2019-12-06
2019-12-06,451740,2019-03-01,2019-12-06
2019-12-06,446483,2019-04-01,2019-12-06
2019-12-06,479072,2019-05-01,2019-12-06
2019-12-06,451733,2019-06-01,2019-12-06
2019-12-06,466814,2019-07-01,2019-12-06
2019-12-06,479296,2019-08-01,2019-12-06
2019-12-06,435733,2019-09-01,2019-12-06
