realtime_start,value,date,realtime_end
2019-12-06,1509,1992-01-01,2019-12-06
2019-12-06,1541,1992-02-01,2019-12-06
2019-12-06,1597,1992-03-01,2019-12-06
2019-12-06,1675,1992-04-01,2019-12-06
2019-12-06,1822,1992-05-01,2019-12-06
2019-12-06,1775,1992-06-01,2019-12-06
2019-12-06,1912,1992-07-01,2019-12-06
2019-12-06,1862,1992-08-01,2019-12-06
2019-12-06,1770,1992-09-01,2019-12-06
2019-12-06,1882,1992-10-01,2019-12-06
2019-12-06,1831,1992-11-01,2019-12-06
2019-12-06,2511,1992-12-01,2019-12-06
2019-12-06,1614,1993-01-01,2019-12-06
2019-12-06,1529,1993-02-01,2019-12-06
2019-12-06,1678,1993-03-01,2019-12-06
2019-12-06,1713,1993-04-01,2019-12-06
2019-12-06,1796,1993-05-01,2019-12-06
2019-12-06,1792,1993-06-01,2019-12-06
2019-12-06,1950,1993-07-01,2019-12-06
2019-12-06,1777,1993-08-01,2019-12-06
2019-12-06,1707,1993-09-01,2019-12-06
2019-12-06,1757,1993-10-01,2019-12-06
2019-12-06,1782,1993-11-01,2019-12-06
2019-12-06,2443,1993-12-01,2019-12-06
2019-12-06,1548,1994-01-01,2019-12-06
2019-12-06,1505,1994-02-01,2019-12-06
2019-12-06,1714,1994-03-01,2019-12-06
2019-12-06,1757,1994-04-01,2019-12-06
2019-12-06,1830,1994-05-01,2019-12-06
2019-12-06,1857,1994-06-01,2019-12-06
2019-12-06,1981,1994-07-01,2019-12-06
2019-12-06,1858,1994-08-01,2019-12-06
2019-12-06,1823,1994-09-01,2019-12-06
2019-12-06,1806,1994-10-01,2019-12-06
2019-12-06,1845,1994-11-01,2019-12-06
2019-12-06,2577,1994-12-01,2019-12-06
2019-12-06,1555,1995-01-01,2019-12-06
2019-12-06,1501,1995-02-01,2019-12-06
2019-12-06,1725,1995-03-01,2019-12-06
2019-12-06,1699,1995-04-01,2019-12-06
2019-12-06,1807,1995-05-01,2019-12-06
2019-12-06,1863,1995-06-01,2019-12-06
2019-12-06,1886,1995-07-01,2019-12-06
2019-12-06,1861,1995-08-01,2019-12-06
2019-12-06,1845,1995-09-01,2019-12-06
2019-12-06,1788,1995-10-01,2019-12-06
2019-12-06,1879,1995-11-01,2019-12-06
2019-12-06,2598,1995-12-01,2019-12-06
2019-12-06,1679,1996-01-01,2019-12-06
2019-12-06,1652,1996-02-01,2019-12-06
2019-12-06,1837,1996-03-01,2019-12-06
2019-12-06,1798,1996-04-01,2019-12-06
2019-12-06,1957,1996-05-01,2019-12-06
2019-12-06,1958,1996-06-01,2019-12-06
2019-12-06,2034,1996-07-01,2019-12-06
2019-12-06,2062,1996-08-01,2019-12-06
2019-12-06,1781,1996-09-01,2019-12-06
2019-12-06,1860,1996-10-01,2019-12-06
2019-12-06,1992,1996-11-01,2019-12-06
2019-12-06,2547,1996-12-01,2019-12-06
2019-12-06,1706,1997-01-01,2019-12-06
2019-12-06,1621,1997-02-01,2019-12-06
2019-12-06,1853,1997-03-01,2019-12-06
2019-12-06,1817,1997-04-01,2019-12-06
2019-12-06,2060,1997-05-01,2019-12-06
2019-12-06,2002,1997-06-01,2019-12-06
2019-12-06,2098,1997-07-01,2019-12-06
2019-12-06,2079,1997-08-01,2019-12-06
2019-12-06,1892,1997-09-01,2019-12-06
2019-12-06,2050,1997-10-01,2019-12-06
2019-12-06,2082,1997-11-01,2019-12-06
2019-12-06,2821,1997-12-01,2019-12-06
2019-12-06,1846,1998-01-01,2019-12-06
2019-12-06,1768,1998-02-01,2019-12-06
2019-12-06,1894,1998-03-01,2019-12-06
2019-12-06,1963,1998-04-01,2019-12-06
2019-12-06,2140,1998-05-01,2019-12-06
2019-12-06,2059,1998-06-01,2019-12-06
2019-12-06,2209,1998-07-01,2019-12-06
2019-12-06,2118,1998-08-01,2019-12-06
2019-12-06,2031,1998-09-01,2019-12-06
2019-12-06,2163,1998-10-01,2019-12-06
2019-12-06,2154,1998-11-01,2019-12-06
2019-12-06,3037,1998-12-01,2019-12-06
2019-12-06,1866,1999-01-01,2019-12-06
2019-12-06,1808,1999-02-01,2019-12-06
2019-12-06,1986,1999-03-01,2019-12-06
2019-12-06,2099,1999-04-01,2019-12-06
2019-12-06,2210,1999-05-01,2019-12-06
2019-12-06,2145,1999-06-01,2019-12-06
2019-12-06,2339,1999-07-01,2019-12-06
2019-12-06,2140,1999-08-01,2019-12-06
2019-12-06,2126,1999-09-01,2019-12-06
2019-12-06,2219,1999-10-01,2019-12-06
2019-12-06,2273,1999-11-01,2019-12-06
2019-12-06,3265,1999-12-01,2019-12-06
2019-12-06,1920,2000-01-01,2019-12-06
2019-12-06,1976,2000-02-01,2019-12-06
2019-12-06,2190,2000-03-01,2019-12-06
2019-12-06,2132,2000-04-01,2019-12-06
2019-12-06,2357,2000-05-01,2019-12-06
2019-12-06,2413,2000-06-01,2019-12-06
2019-12-06,2463,2000-07-01,2019-12-06
2019-12-06,2422,2000-08-01,2019-12-06
2019-12-06,2358,2000-09-01,2019-12-06
2019-12-06,2352,2000-10-01,2019-12-06
2019-12-06,2549,2000-11-01,2019-12-06
2019-12-06,3375,2000-12-01,2019-12-06
2019-12-06,2109,2001-01-01,2019-12-06
2019-12-06,2052,2001-02-01,2019-12-06
2019-12-06,2327,2001-03-01,2019-12-06
2019-12-06,2231,2001-04-01,2019-12-06
2019-12-06,2470,2001-05-01,2019-12-06
2019-12-06,2526,2001-06-01,2019-12-06
2019-12-06,2483,2001-07-01,2019-12-06
2019-12-06,2518,2001-08-01,2019-12-06
2019-12-06,2316,2001-09-01,2019-12-06
2019-12-06,2409,2001-10-01,2019-12-06
2019-12-06,2638,2001-11-01,2019-12-06
2019-12-06,3542,2001-12-01,2019-12-06
2019-12-06,2114,2002-01-01,2019-12-06
2019-12-06,2109,2002-02-01,2019-12-06
2019-12-06,2366,2002-03-01,2019-12-06
2019-12-06,2300,2002-04-01,2019-12-06
2019-12-06,2569,2002-05-01,2019-12-06
2019-12-06,2486,2002-06-01,2019-12-06
2019-12-06,2568,2002-07-01,2019-12-06
2019-12-06,2595,2002-08-01,2019-12-06
2019-12-06,2297,2002-09-01,2019-12-06
2019-12-06,2401,2002-10-01,2019-12-06
2019-12-06,2601,2002-11-01,2019-12-06
2019-12-06,3488,2002-12-01,2019-12-06
2019-12-06,2121,2003-01-01,2019-12-06
2019-12-06,2046,2003-02-01,2019-12-06
2019-12-06,2273,2003-03-01,2019-12-06
2019-12-06,2333,2003-04-01,2019-12-06
2019-12-06,2576,2003-05-01,2019-12-06
2019-12-06,2433,2003-06-01,2019-12-06
2019-12-06,2611,2003-07-01,2019-12-06
2019-12-06,2660,2003-08-01,2019-12-06
2019-12-06,2461,2003-09-01,2019-12-06
2019-12-06,2641,2003-10-01,2019-12-06
2019-12-06,2660,2003-11-01,2019-12-06
2019-12-06,3654,2003-12-01,2019-12-06
2019-12-06,2293,2004-01-01,2019-12-06
2019-12-06,2219,2004-02-01,2019-12-06
2019-12-06,2398,2004-03-01,2019-12-06
2019-12-06,2553,2004-04-01,2019-12-06
2019-12-06,2685,2004-05-01,2019-12-06
2019-12-06,2643,2004-06-01,2019-12-06
2019-12-06,2867,2004-07-01,2019-12-06
2019-12-06,2622,2004-08-01,2019-12-06
2019-12-06,2618,2004-09-01,2019-12-06
2019-12-06,2727,2004-10-01,2019-12-06
2019-12-06,2763,2004-11-01,2019-12-06
2019-12-06,3801,2004-12-01,2019-12-06
2019-12-06,2219,2005-01-01,2019-12-06
2019-12-06,2316,2005-02-01,2019-12-06
2019-12-06,2530,2005-03-01,2019-12-06
2019-12-06,2640,2005-04-01,2019-12-06
2019-12-06,2709,2005-05-01,2019-12-06
2019-12-06,2783,2005-06-01,2019-12-06
2019-12-06,2924,2005-07-01,2019-12-06
2019-12-06,2791,2005-08-01,2019-12-06
2019-12-06,2784,2005-09-01,2019-12-06
2019-12-06,2801,2005-10-01,2019-12-06
2019-12-06,2933,2005-11-01,2019-12-06
2019-12-06,4137,2005-12-01,2019-12-06
2019-12-06,2424,2006-01-01,2019-12-06
2019-12-06,2519,2006-02-01,2019-12-06
2019-12-06,2753,2006-03-01,2019-12-06
2019-12-06,2791,2006-04-01,2019-12-06
2019-12-06,3017,2006-05-01,2019-12-06
2019-12-06,3055,2006-06-01,2019-12-06
2019-12-06,3117,2006-07-01,2019-12-06
2019-12-06,3024,2006-08-01,2019-12-06
2019-12-06,2997,2006-09-01,2019-12-06
2019-12-06,2913,2006-10-01,2019-12-06
2019-12-06,3137,2006-11-01,2019-12-06
2019-12-06,4269,2006-12-01,2019-12-06
2019-12-06,2569,2007-01-01,2019-12-06
2019-12-06,2603,2007-02-01,2019-12-06
2019-12-06,3005,2007-03-01,2019-12-06
2019-12-06,2867,2007-04-01,2019-12-06
2019-12-06,3262,2007-05-01,2019-12-06
2019-12-06,3364,2007-06-01,2019-12-06
2019-12-06,3322,2007-07-01,2019-12-06
2019-12-06,3292,2007-08-01,2019-12-06
2019-12-06,3057,2007-09-01,2019-12-06
2019-12-06,3087,2007-10-01,2019-12-06
2019-12-06,3297,2007-11-01,2019-12-06
2019-12-06,4403,2007-12-01,2019-12-06
2019-12-06,2675,2008-01-01,2019-12-06
2019-12-06,2806,2008-02-01,2019-12-06
2019-12-06,2989,2008-03-01,2019-12-06
2019-12-06,2997,2008-04-01,2019-12-06
2019-12-06,3420,2008-05-01,2019-12-06
2019-12-06,3279,2008-06-01,2019-12-06
2019-12-06,3517,2008-07-01,2019-12-06
2019-12-06,3472,2008-08-01,2019-12-06
2019-12-06,3151,2008-09-01,2019-12-06
2019-12-06,3351,2008-10-01,2019-12-06
2019-12-06,3386,2008-11-01,2019-12-06
2019-12-06,4461,2008-12-01,2019-12-06
2019-12-06,2913,2009-01-01,2019-12-06
2019-12-06,2781,2009-02-01,2019-12-06
2019-12-06,3024,2009-03-01,2019-12-06
2019-12-06,3130,2009-04-01,2019-12-06
2019-12-06,3467,2009-05-01,2019-12-06
2019-12-06,3307,2009-06-01,2019-12-06
2019-12-06,3555,2009-07-01,2019-12-06
2019-12-06,3399,2009-08-01,2019-12-06
2019-12-06,3263,2009-09-01,2019-12-06
2019-12-06,3425,2009-10-01,2019-12-06
