realtime_start,value,date,realtime_end
2019-12-06,24056,1992-01-01,2019-12-06
2019-12-06,25041,1992-02-01,2019-12-06
2019-12-06,28018,1992-03-01,2019-12-06
2019-12-06,27982,1992-04-01,2019-12-06
2019-12-06,28924,1992-05-01,2019-12-06
2019-12-06,30591,1992-06-01,2019-12-06
2019-12-06,29934,1992-07-01,2019-12-06
2019-12-06,28052,1992-08-01,2019-12-06
2019-12-06,28949,1992-09-01,2019-12-06
2019-12-06,29429,1992-10-01,2019-12-06
2019-12-06,26171,1992-11-01,2019-12-06
2019-12-06,26654,1992-12-01,2019-12-06
2019-12-06,25801,1993-01-01,2019-12-06
2019-12-06,26165,1993-02-01,2019-12-06
2019-12-06,31277,1993-03-01,2019-12-06
2019-12-06,32586,1993-04-01,2019-12-06
2019-12-06,32786,1993-05-01,2019-12-06
2019-12-06,34497,1993-06-01,2019-12-06
2019-12-06,34162,1993-07-01,2019-12-06
2019-12-06,33517,1993-08-01,2019-12-06
2019-12-06,32501,1993-09-01,2019-12-06
2019-12-06,32534,1993-10-01,2019-12-06
2019-12-06,31679,1993-11-01,2019-12-06
2019-12-06,32017,1993-12-01,2019-12-06
2019-12-06,29860,1994-01-01,2019-12-06
2019-12-06,31959,1994-02-01,2019-12-06
2019-12-06,39742,1994-03-01,2019-12-06
2019-12-06,38191,1994-04-01,2019-12-06
2019-12-06,37869,1994-05-01,2019-12-06
2019-12-06,39511,1994-06-01,2019-12-06
2019-12-06,36388,1994-07-01,2019-12-06
2019-12-06,38533,1994-08-01,2019-12-06
2019-12-06,37385,1994-09-01,2019-12-06
2019-12-06,36654,1994-10-01,2019-12-06
2019-12-06,35170,1994-11-01,2019-12-06
2019-12-06,34399,1994-12-01,2019-12-06
2019-12-06,32778,1995-01-01,2019-12-06
2019-12-06,33412,1995-02-01,2019-12-06
2019-12-06,41374,1995-03-01,2019-12-06
2019-12-06,38132,1995-04-01,2019-12-06
2019-12-06,42309,1995-05-01,2019-12-06
2019-12-06,43957,1995-06-01,2019-12-06
2019-12-06,39540,1995-07-01,2019-12-06
2019-12-06,42592,1995-08-01,2019-12-06
2019-12-06,38978,1995-09-01,2019-12-06
2019-12-06,38834,1995-10-01,2019-12-06
2019-12-06,37202,1995-11-01,2019-12-06
2019-12-06,35534,1995-12-01,2019-12-06
2019-12-06,36390,1996-01-01,2019-12-06
2019-12-06,40087,1996-02-01,2019-12-06
2019-12-06,44798,1996-03-01,2019-12-06
2019-12-06,42745,1996-04-01,2019-12-06
2019-12-06,46525,1996-05-01,2019-12-06
2019-12-06,43649,1996-06-01,2019-12-06
2019-12-06,43833,1996-07-01,2019-12-06
2019-12-06,44020,1996-08-01,2019-12-06
2019-12-06,41252,1996-09-01,2019-12-06
2019-12-06,43454,1996-10-01,2019-12-06
2019-12-06,38484,1996-11-01,2019-12-06
2019-12-06,37103,1996-12-01,2019-12-06
2019-12-06,38950,1997-01-01,2019-12-06
2019-12-06,40036,1997-02-01,2019-12-06
2019-12-06,45967,1997-03-01,2019-12-06
2019-12-06,44106,1997-04-01,2019-12-06
2019-12-06,45673,1997-05-01,2019-12-06
2019-12-06,45196,1997-06-01,2019-12-06
2019-12-06,46093,1997-07-01,2019-12-06
2019-12-06,46085,1997-08-01,2019-12-06
2019-12-06,43626,1997-09-01,2019-12-06
2019-12-06,44122,1997-10-01,2019-12-06
2019-12-06,38649,1997-11-01,2019-12-06
2019-12-06,40469,1997-12-01,2019-12-06
2019-12-06,39690,1998-01-01,2019-12-06
2019-12-06,39936,1998-02-01,2019-12-06
2019-12-06,47249,1998-03-01,2019-12-06
2019-12-06,47084,1998-04-01,2019-12-06
2019-12-06,48972,1998-05-01,2019-12-06
2019-12-06,51217,1998-06-01,2019-12-06
2019-12-06,46220,1998-07-01,2019-12-06
2019-12-06,44965,1998-08-01,2019-12-06
2019-12-06,44560,1998-09-01,2019-12-06
2019-12-06,46742,1998-10-01,2019-12-06
2019-12-06,41949,1998-11-01,2019-12-06
2019-12-06,43975,1998-12-01,2019-12-06
2019-12-06,42042,1999-01-01,2019-12-06
2019-12-06,45230,1999-02-01,2019-12-06
2019-12-06,53840,1999-03-01,2019-12-06
