realtime_start,value,date,realtime_end
2019-12-06,4852,1992-01-01,2019-12-06
2019-12-06,5159,1992-02-01,2019-12-06
2019-12-06,6024,1992-03-01,2019-12-06
2019-12-06,6682,1992-04-01,2019-12-06
2019-12-06,6768,1992-05-01,2019-12-06
2019-12-06,6534,1992-06-01,2019-12-06
2019-12-06,6551,1992-07-01,2019-12-06
2019-12-06,7486,1992-08-01,2019-12-06
2019-12-06,6878,1992-09-01,2019-12-06
2019-12-06,7514,1992-10-01,2019-12-06
2019-12-06,8201,1992-11-01,2019-12-06
2019-12-06,12721,1992-12-01,2019-12-06
2019-12-06,5439,1993-01-01,2019-12-06
2019-12-06,5284,1993-02-01,2019-12-06
2019-12-06,6349,1993-03-01,2019-12-06
2019-12-06,7112,1993-04-01,2019-12-06
2019-12-06,7128,1993-05-01,2019-12-06
2019-12-06,6725,1993-06-01,2019-12-06
2019-12-06,6905,1993-07-01,2019-12-06
2019-12-06,7386,1993-08-01,2019-12-06
2019-12-06,7093,1993-09-01,2019-12-06
2019-12-06,7535,1993-10-01,2019-12-06
2019-12-06,8499,1993-11-01,2019-12-06
2019-12-06,12672,1993-12-01,2019-12-06
2019-12-06,5128,1994-01-01,2019-12-06
2019-12-06,5425,1994-02-01,2019-12-06
2019-12-06,7099,1994-03-01,2019-12-06
2019-12-06,7014,1994-04-01,2019-12-06
2019-12-06,6947,1994-05-01,2019-12-06
2019-12-06,6947,1994-06-01,2019-12-06
2019-12-06,6834,1994-07-01,2019-12-06
2019-12-06,7766,1994-08-01,2019-12-06
2019-12-06,7177,1994-09-01,2019-12-06
2019-12-06,7718,1994-10-01,2019-12-06
2019-12-06,8810,1994-11-01,2019-12-06
2019-12-06,13296,1994-12-01,2019-12-06
2019-12-06,5331,1995-01-01,2019-12-06
2019-12-06,5472,1995-02-01,2019-12-06
2019-12-06,6944,1995-03-01,2019-12-06
2019-12-06,7079,1995-04-01,2019-12-06
2019-12-06,7190,1995-05-01,2019-12-06
2019-12-06,7087,1995-06-01,2019-12-06
2019-12-06,6805,1995-07-01,2019-12-06
2019-12-06,7727,1995-08-01,2019-12-06
2019-12-06,7558,1995-09-01,2019-12-06
2019-12-06,7425,1995-10-01,2019-12-06
2019-12-06,8988,1995-11-01,2019-12-06
2019-12-06,13102,1995-12-01,2019-12-06
2019-12-06,5325,1996-01-01,2019-12-06
2019-12-06,6050,1996-02-01,2019-12-06
2019-12-06,7189,1996-03-01,2019-12-06
2019-12-06,7278,1996-04-01,2019-12-06
2019-12-06,7648,1996-05-01,2019-12-06
2019-12-06,7277,1996-06-01,2019-12-06
2019-12-06,7000,1996-07-01,2019-12-06
2019-12-06,8304,1996-08-01,2019-12-06
2019-12-06,7495,1996-09-01,2019-12-06
2019-12-06,8024,1996-10-01,2019-12-06
2019-12-06,9114,1996-11-01,2019-12-06
2019-12-06,13008,1996-12-01,2019-12-06
2019-12-06,5785,1997-01-01,2019-12-06
2019-12-06,5902,1997-02-01,2019-12-06
2019-12-06,7640,1997-03-01,2019-12-06
