realtime_start,value,date,realtime_end
2019-12-06,6887,1992-01-01,2019-12-06
2019-12-06,6937,1992-02-01,2019-12-06
2019-12-06,7245,1992-03-01,2019-12-06
2019-12-06,7000,1992-04-01,2019-12-06
2019-12-06,7532,1992-05-01,2019-12-06
2019-12-06,6997,1992-06-01,2019-12-06
2019-12-06,7272,1992-07-01,2019-12-06
2019-12-06,7535,1992-08-01,2019-12-06
2019-12-06,6921,1992-09-01,2019-12-06
2019-12-06,7439,1992-10-01,2019-12-06
2019-12-06,7114,1992-11-01,2019-12-06
2019-12-06,7329,1992-12-01,2019-12-06
2019-12-06,6830,1993-01-01,2019-12-06
2019-12-06,6675,1993-02-01,2019-12-06
2019-12-06,7297,1993-03-01,2019-12-06
2019-12-06,7486,1993-04-01,2019-12-06
2019-12-06,7868,1993-05-01,2019-12-06
2019-12-06,7783,1993-06-01,2019-12-06
2019-12-06,8019,1993-07-01,2019-12-06
2019-12-06,8292,1993-08-01,2019-12-06
2019-12-06,7699,1993-09-01,2019-12-06
2019-12-06,8015,1993-10-01,2019-12-06
2019-12-06,7418,1993-11-01,2019-12-06
2019-12-06,7740,1993-12-01,2019-12-06
2019-12-06,6968,1994-01-01,2019-12-06
2019-12-06,7243,1994-02-01,2019-12-06
2019-12-06,8140,1994-03-01,2019-12-06
2019-12-06,8106,1994-04-01,2019-12-06
2019-12-06,8325,1994-05-01,2019-12-06
2019-12-06,8254,1994-06-01,2019-12-06
2019-12-06,8649,1994-07-01,2019-12-06
2019-12-06,8622,1994-08-01,2019-12-06
2019-12-06,8044,1994-09-01,2019-12-06
2019-12-06,8227,1994-10-01,2019-12-06
2019-12-06,7788,1994-11-01,2019-12-06
2019-12-06,8317,1994-12-01,2019-12-06
2019-12-06,7475,1995-01-01,2019-12-06
2019-12-06,7311,1995-02-01,2019-12-06
2019-12-06,8211,1995-03-01,2019-12-06
2019-12-06,8235,1995-04-01,2019-12-06
2019-12-06,8581,1995-05-01,2019-12-06
2019-12-06,8514,1995-06-01,2019-12-06
2019-12-06,8867,1995-07-01,2019-12-06
2019-12-06,9000,1995-08-01,2019-12-06
2019-12-06,8238,1995-09-01,2019-12-06
2019-12-06,8295,1995-10-01,2019-12-06
2019-12-06,7956,1995-11-01,2019-12-06
2019-12-06,8349,1995-12-01,2019-12-06
2019-12-06,7503,1996-01-01,2019-12-06
2019-12-06,7911,1996-02-01,2019-12-06
2019-12-06,8650,1996-03-01,2019-12-06
2019-12-06,8469,1996-04-01,2019-12-06
2019-12-06,8941,1996-05-01,2019-12-06
2019-12-06,8682,1996-06-01,2019-12-06
2019-12-06,8944,1996-07-01,2019-12-06
2019-12-06,9513,1996-08-01,2019-12-06
2019-12-06,8642,1996-09-01,2019-12-06
2019-12-06,8998,1996-10-01,2019-12-06
2019-12-06,8972,1996-11-01,2019-12-06
2019-12-06,8888,1996-12-01,2019-12-06
2019-12-06,8658,1997-01-01,2019-12-06
2019-12-06,8610,1997-02-01,2019-12-06
2019-12-06,9559,1997-03-01,2019-12-06
2019-12-06,9301,1997-04-01,2019-12-06
2019-12-06,9942,1997-05-01,2019-12-06
2019-12-06,9428,1997-06-01,2019-12-06
2019-12-06,10036,1997-07-01,2019-12-06
2019-12-06,10481,1997-08-01,2019-12-06
2019-12-06,9505,1997-09-01,2019-12-06
2019-12-06,9813,1997-10-01,2019-12-06
2019-12-06,9192,1997-11-01,2019-12-06
2019-12-06,9661,1997-12-01,2019-12-06
2019-12-06,9109,1998-01-01,2019-12-06
2019-12-06,9073,1998-02-01,2019-12-06
2019-12-06,9926,1998-03-01,2019-12-06
2019-12-06,9778,1998-04-01,2019-12-06
2019-12-06,10371,1998-05-01,2019-12-06
2019-12-06,10150,1998-06-01,2019-12-06
2019-12-06,10402,1998-07-01,2019-12-06
2019-12-06,10484,1998-08-01,2019-12-06
2019-12-06,9792,1998-09-01,2019-12-06
2019-12-06,10399,1998-10-01,2019-12-06
2019-12-06,9664,1998-11-01,2019-12-06
2019-12-06,10284,1998-12-01,2019-12-06
2019-12-06,9535,1999-01-01,2019-12-06
2019-12-06,9467,1999-02-01,2019-12-06
2019-12-06,10334,1999-03-01,2019-12-06
2019-12-06,10520,1999-04-01,2019-12-06
2019-12-06,10740,1999-05-01,2019-12-06
2019-12-06,10503,1999-06-01,2019-12-06
2019-12-06,11031,1999-07-01,2019-12-06
2019-12-06,10888,1999-08-01,2019-12-06
2019-12-06,10250,1999-09-01,2019-12-06
2019-12-06,11004,1999-10-01,2019-12-06
2019-12-06,10182,1999-11-01,2019-12-06
2019-12-06,10654,1999-12-01,2019-12-06
2019-12-06,10045,2000-01-01,2019-12-06
2019-12-06,10482,2000-02-01,2019-12-06
2019-12-06,11410,2000-03-01,2019-12-06
2019-12-06,11187,2000-04-01,2019-12-06
2019-12-06,11339,2000-05-01,2019-12-06
2019-12-06,11279,2000-06-01,2019-12-06
2019-12-06,11695,2000-07-01,2019-12-06
2019-12-06,11527,2000-08-01,2019-12-06
2019-12-06,11205,2000-09-01,2019-12-06
2019-12-06,11395,2000-10-01,2019-12-06
2019-12-06,10693,2000-11-01,2019-12-06
2019-12-06,11322,2000-12-01,2019-12-06
2019-12-06,10680,2001-01-01,2019-12-06
2019-12-06,10646,2001-02-01,2019-12-06
2019-12-06,11869,2001-03-01,2019-12-06
2019-12-06,11265,2001-04-01,2019-12-06
2019-12-06,11952,2001-05-01,2019-12-06
2019-12-06,12141,2001-06-01,2019-12-06
2019-12-06,12321,2001-07-01,2019-12-06
2019-12-06,12742,2001-08-01,2019-12-06
2019-12-06,11242,2001-09-01,2019-12-06
2019-12-06,11471,2001-10-01,2019-12-06
2019-12-06,11206,2001-11-01,2019-12-06
2019-12-06,12535,2001-12-01,2019-12-06
2019-12-06,11462,2002-01-01,2019-12-06
2019-12-06,11355,2002-02-01,2019-12-06
2019-12-06,12630,2002-03-01,2019-12-06
2019-12-06,12076,2002-04-01,2019-12-06
2019-12-06,12790,2002-05-01,2019-12-06
2019-12-06,12620,2002-06-01,2019-12-06
2019-12-06,12810,2002-07-01,2019-12-06
2019-12-06,13294,2002-08-01,2019-12-06
2019-12-06,11694,2002-09-01,2019-12-06
2019-12-06,12084,2002-10-01,2019-12-06
2019-12-06,11964,2002-11-01,2019-12-06
2019-12-06,12758,2002-12-01,2019-12-06
2019-12-06,11787,2003-01-01,2019-12-06
2019-12-06,11506,2003-02-01,2019-12-06
2019-12-06,12944,2003-03-01,2019-12-06
2019-12-06,12419,2003-04-01,2019-12-06
2019-12-06,13744,2003-05-01,2019-12-06
2019-12-06,13263,2003-06-01,2019-12-06
2019-12-06,13694,2003-07-01,2019-12-06
2019-12-06,14362,2003-08-01,2019-12-06
2019-12-06,12504,2003-09-01,2019-12-06
2019-12-06,13076,2003-10-01,2019-12-06
2019-12-06,12664,2003-11-01,2019-12-06
2019-12-06,13351,2003-12-01,2019-12-06
2019-12-06,13022,2004-01-01,2019-12-06
2019-12-06,12997,2004-02-01,2019-12-06
2019-12-06,13786,2004-03-01,2019-12-06
2019-12-06,13404,2004-04-01,2019-12-06
2019-12-06,14130,2004-05-01,2019-12-06
2019-12-06,13764,2004-06-01,2019-12-06
2019-12-06,14680,2004-07-01,2019-12-06
2019-12-06,14264,2004-08-01,2019-12-06
2019-12-06,13386,2004-09-01,2019-12-06
2019-12-06,14054,2004-10-01,2019-12-06
2019-12-06,13133,2004-11-01,2019-12-06
2019-12-06,14479,2004-12-01,2019-12-06
2019-12-06,13373,2005-01-01,2019-12-06
2019-12-06,13443,2005-02-01,2019-12-06
2019-12-06,14562,2005-03-01,2019-12-06
2019-12-06,14573,2005-04-01,2019-12-06
2019-12-06,14894,2005-05-01,2019-12-06
2019-12-06,14641,2005-06-01,2019-12-06
2019-12-06,15333,2005-07-01,2019-12-06
2019-12-06,15074,2005-08-01,2019-12-06
2019-12-06,14114,2005-09-01,2019-12-06
2019-12-06,14686,2005-10-01,2019-12-06
2019-12-06,13906,2005-11-01,2019-12-06
2019-12-06,15520,2005-12-01,2019-12-06
2019-12-06,14514,2006-01-01,2019-12-06
